Tipo de resolución|Año de resolución|Referencia|Fecha de resolución|Tipología|Problema jurídico|Ratio decidendi|Decisión|Deber ético (Art. 5 LEG)|Prohibición ética (Art. 6 LEG)
Anormal|2012|113-TEG-2011|10/05/2012|Desistimiento|¿Puede continuarse de oficio con un proceso sancionatorio luego del desistimiento del denunciante?|"...Mediante el primer oficio relacionado en el párrafo que antecede, el señor Saravia Alfaro cumple el requerimiento que le fue formulado al Presidente de la Corte de Cuentas de la República en la resolución de las once horas con veinte minutos del catorce de enero del corriente año.
Por su parte, el señor Martínez Henríquez desiste de su denuncia y señala la “pasividad y falta de acción por aplicar la Ley” por parte de este Tribunal. 
Finalmente, la instructora de esta sede expone en su informe las diligencias realizadas y los hallazgos encontrados.
 
Al respecto, el artículo 98 del Reglamento de la Ley de Ética Gubernamental establece que el denunciante podrá desistir expresamente de su denuncia en cualquier momento. En caso que los hechos denunciados evidencien la posible violación de un deber o prohibición ética, el Tribunal puede continuar de oficio el procedimiento.

Esto significa que por la trascendencia de los hechos sometidos a la competencia de este Tribunal, los cuales son de interés público, el desistimiento no puede aceptarse de manera automática como forma anormal de terminación del trámite, pues en el supuesto que subsistan los indicios de una transgresión ética deberá proseguirse aún sin la participación del denunciante.

Ahora bien, en el caso particular, se repara que los indicios de una transgresión ética, advertidos durante la investigación preliminar y al decretar la apertura del procedimiento, no se han robustecido en razón de que no existen suficientes elementos de juicio respecto a que durante el período de diciembre de dos mil once a febrero de dos mil doce, el señor Juan Miranda Pérez, ex Alcalde Municipal de Rosario de Mora, habría utilizado los bienes muebles e inmuebles de dicha municipalidad para hacer campaña política, así como habría obligado a los empleados para que asistieran a eventos proselitistas e hicieran trabajo de campo a favor de su candidatura, por lo que aún de oficio es improcedente continuar con el trámite del presente procedimiento.
"|Desistimiento||
Anormal|2012|14-TEG-2011|11/08/2012|Ejecución de procesos|¿Es posible establecer un retraso en una respuesta si el documento copia no contiene firma de quien realiza la solicitud ni constancia de recepción del original?|"Liminarmente, la denuncia fue admitida por dos situaciones: a) la falta de respuesta del señor Pablo Alcides Ochoa, en ese entonces Presidente del Instituto Salvadoreño de Transformación Agraria (ISTA) al escrito que se le remitió el diecinueve de abril de dos mil diez; y, b) la retardación sin motivo legal de la adjudicación de las tierras ubicadas en las fincas El Amparo y Montecristo a veintidós beneficiados de la reforma agraria por parte de los señores Pablo Alcides Ochoa Quinteros, Presidente, José Arturo Simeón Magaña Acosta, Vicepresidente, Hazel Yolanda Castillo López, José Alfredo Marroquín Rendón, Rolando Nicolás Rascón Rosales y Maricela Sánchez de Martínez, directores propietarios; Miguel Alemán Velásquez, José Agustín Ventura, José René Hernández Espinoza y Blanca Estela Parada, directores suplentes, todos ellos  en esa época miembros de la Junta Directiva del ISTA.
Por la primera omisión se atribuye al señor Alcides Ochoa la vulneración del deber de cumplimiento, regulado en el artículo 5 literal b) de la derogada Ley de Ética Gubernamental, en lo sucesivo LEG; sin embargo, a partir de la prueba que consta en el expediente no se ha establecido la efectiva recepción de la solicitud de mérito.
En efecto, la única prueba encaminada a acreditar dicha circunstancia es una copia simple de la nota de fecha diecinueve de abril de dos mil diez, la cual carece de firma de su redactor y de constancia de recepción.
Así las cosas, al no haber elementos probatorios suficientes es improcedente continuar con la tramitación del procedimiento respecto de esa situación concreta, respecto de la cual deberá decretarse el sobreseimiento respectivo.
Con relación a la supuesta retardación imputada a los denunciados en la adjudicación de las tierras ubicadas en las fincas El Amparo y Montecristo, al analizar la normativa pertinente se aprecia que la inconformidad del denunciante involucra aspectos de legalidad que no pueden ser examinados por el Tribunal.
En efecto, el artículo 71 de la Ley de Creación del Instituto Salvadoreño de Transformación Agraria indica que: “El ISTA mediante contratos de venta al contado, venta a plazos y arrendamiento con promesa de venta, adjudicará inmuebles destinados para el desarrollo de proyectos de transformación agraria, a los beneficiarios que reúnan los requisitos que esta ley establece”.
En estrecha relación, los lineamientos y criterios de trabajo que rigen el proceso de asignación y reasignación de inmuebles en los diferentes programas de transferencia de tierras que el ISTA desarrolla enlistan una serie de presupuestos que las personas que solicitan la adjudicación de un inmueble deben cumplir, los cuales deben ser verificados por la Unidad de Asignación y Transferencia de Tierras de las diferentes Regiones Agrarias.
Ahora bien, este Tribunal no es competente para corroborar si el denunciante y las restantes veintiún personas supuestamente beneficiadas con las fincas El Amparo y Montecristo cumplen los requisitos para convertirse en adjudicatarios de dichas tierras.
De manera que carece de sentido proseguir con la tramitación del caso al tratarse de una mera inconformidad del denunciante que escapa de la competencia de esta institución, por lo que se deberá declarar la improcedencia de la denuncia en cuanto a esta situación. 
"|Sobreseimiento, improcedente||
Definitiva|2014|93-A-2012|12/09/2012|Presupuesto público|¿Es una infracción ética desempeñar labores en dos oficinas públicas?|"En el presente procedimiento con los medios probatorios practicados se ha establecido de forma clara y convincente que el señor Carlos Enrique Reyes Trejo, entre los meses de mayo y diciembre de dos mil doce, ejerció dos empleos públicos, uno en la Asamblea Legislativa de las ocho a las dieciséis horas, en el cual debía gestionar, coordinar y supervisar actividades en distintos municipios del departamento de Sonsonate; y el otro en la municipalidad de Juayúa, de las dieciséis a las veintiún horas.
Así, resulta físicamente imposible que el señor Reyes Trejo desempeñara a cabalidad sus labores en los horarios establecidos; pues no podría haberse retirado a las dieciséis horas de las instalaciones de la Asamblea Legislativa ubicadas en la ciudad de Sonsonate, o de los diferentes lugares a los que debía acudir en los municipios del departamento del mismo nombre, y haber iniciado sus labores a esa misma hora en la municipalidad de Juayúa.
Efectivamente, durante los días de lunes a viernes en el período comprendido entre mayo y diciembre de dos mil doce, el señor Reyes Trejo registró su entrada en la municipalidad de Juayúa, departamento de Sonsonate, aproximadamente entre las dieciséis y las dieciséis horas con quince minutos, y en algunas ocasiones incluso antes de las dieciséis horas, como el dieciséis, diecisiete y dieciocho de mayo de ese año. 
Ello implica que el señor Reyes Trejo no desempeñó de forma regular sus funciones en la Asamblea Legislativa, pues el tiempo que necesitaba para trasladarse y presentarse a las dieciséis horas en la municipalidad de Juayúa supone lógicamente que desatendió sus labores en la mencionada fracción legislativa antes de esa hora, la cual era su hora exacta de salida en esta última institución.
Es decir, que la coincidencia de la hora de finalización de las funciones en la Asamblea Legislativa y la hora de inicio de las labores en la municipalidad de Juayúa por parte del señor Reyes Trejo, supone que este tuvo horarios incompatibles de trabajo; pues necesariamente incumplía una de las dos jornadas o, en el peor de los casos, ambas.
Así se comprobó en el presente procedimiento las ocasiones en las que el señor Reyes Trejo registró su entrada en la municipalidad de Juayúa entre las dieciséis y las dieciséis horas con quince minutos o incluso antes, dicho hecho supone que abandonó su jornada en la Asamblea Legislativa para ocuparse de sus tareas municipales con antelación
"|Sanciona||d
Definitiva|2012|87-TEG-2010|05/10/2012|Imparcialidad|¿El jefe de Recursos Humanos ad honorem que contrata a su cónyuge come te una infracción ética?|"El licenciado Juan Gabriel Hernández, al ejercer el cargo de Jefe de Recursos Humanos Ad-Honorem del Hospital Nacional General de Jiquilisco del Ministerio de Salud, tiene una predominante participación y control con todo lo que se refiere a reclutamiento, selección e inducción de personal de la institución, lo que en definitiva permite manejar información privilegiada respecto de la existencia de plazas vacantes en ese nosocomio que ejerce su cargo.
...
De lo anterior se colige que el servidor público denunciado, propuso a su cónyuge la señora Moisés de Hernández para que ocupara la plaza de promotora de salud del Hospital General de Jiquilisco, y  posteriormente contribuyó a que dicha situación continuara al elaborar los proyectos de reorganización del personal de la institución, durante los años 2007 y 2008.
...
Es claro, por lo tanto, que el servidor público denunciado se prevaleció de su cargo público y que ello l e permito que su cónyuge, la señora Moisés de Hernández obtuviere un beneficio privado, lo que de forma indirecta también favoreció al servidor público denunciado, en ambos casos al margo de los fines públicos."|Sanciona|a|b
Definitiva|2012|39-TEG-2011|05/10/2012|Ejecución de procesos|¿El retraso es imputable a un gerente cuando la respuesta a una solicitud depende de una sección?|"Es decir que el trámite de retiro de pensión no sólo es responsabilidad del Gerente General de la Unidad de Pensiones del Instituto Salvadoreño del Seguro Social, sino que dentro del mismo interviene también la Sección de Historial Laboral, cuya jefa es la señora Reina Victoria Castellón.
...
De lo anterior se colige que el ingeniero Walter Edgardo Funes Callejas no detuvo ni dilató el retiro de pensión...pues constató que el trámite no es responsabilidad de dicho servidor público.
La culminación del trámite exigía la recepción de información proveniente de la Sección de Historial Laboral, lo que no dependía del servidor público denunciado."|No sanciona||i
Definitiva|2012|54-TEG-2010|05/10/2012|Ejecución de procesos|¿Es una infracción ética emitir una certificación castastral  sin hacer referencia a la inscripción, a favor de otro poseedor?|"Se colige entonces que si el legislador suprime una infracción administrativa del ordenamiento jurídico a través de una nueva ley, dicha situación le favorece al presunto infractor por lo que será la nueva normativa la que deberá aplicársele debido a su evidente carácter benévolo.
...
Consecuentemente, al realizar una aplicación retroactiva de la norma sancionadora favorable se advierte que los hechos denunciados, al ser atípicos, ya no resultan sancionables."|No sanciona|e, g|b
Definitiva|2012|30-TEG-2011|05/10/2012|Uso de bienes y servicios públicos|¿Está permitido utilizar una motocicleta asignada a una oficina pública para realizar diligencias no oficiales en horas labores y resguardarla fuera de la sede de esta?|De esta forma, el licenciado Mario Óscar Adolfo Díaz Soto no sólo debió abstenerse de ocupar la motocicleta placas M29851 indiscriminadamente y de forma arbitraria, sino que además se encontraba constreñido a resguardarla en las instalaciones del juzgado después de la jornada laboral y no llevársela a un destino diferente.|Sanciona||h
Anormal|2013|148-TEG-2011|01/11/2012|Falta de subsanación|¿Puede tramitarse una denuncia o aviso al que se le han realizado prevenciones y no han sido subsanadas?|"Advierte este Tribunal que por resolución dictada a las nueve horas y treinta minutos del día once, notificada a las quince horas y ocho minutos del día veintitrés, ambas fechas de octubre del corriente año, se previno a los señores Ever Antonio Díaz Ramírez y Eduardo Timoteo Rodas que, en el plazo de cinco días hábiles contados a partir del siguiente al de la notificación respectiva, subsanaran algunas deficiencias formales constatadas en su denuncia.

En vista que ya trascurrió el plazo otorgado a los interesados para evacuar la prevención aludida, sin que éstos lo hayan hecho, deberá declararse inadmisible su denuncia de conformidad al artículo 54 inciso 2º del Reglamento de la derogada Ley de Ética Gubernamental, el cual indica que la falta de corrección oportuna y satisfactoria de la prevención produce dicha declaratoria.
"|Inadmisible||
Anormal|2012|51-TEG-2011|21/11/2012|Materia de empleo público|¿Se encuentra bajo la competencia del Tribunal de Ética Gubernamental conocer de la inasistencia de un maestro a prestar clases en el Centro Educativo para el que labora?|"En el presente procedimiento se atribuye al señor Miguel Ángel García Escobar, quien se desempeña como profesor auxiliar en el complejo Educativo Capitán General Gerardo Barrios del municipio de Santa Ana, la transgresión al deber ético de cumplimiento regulado en el artículo 5 literal b) de la derogada LEG, debido al supuesto incumplimiento de sus deberes y obligaciones como servidor público al no cumplir desde el mes de enero de 2011 con su labor de impartir clases a sus alumnos conforme al grado que le fue asignado por la Directora del complejo escolar ya relacionado.

Sin embargo, la LEG vigente no regula el deber de cumplimiento ni contempla ninguna norma sustantiva de contenido equivalente, cuya transgresión pueda ser controlada por este Tribunal.

...

...en virtud de lo dispuesto en el artículo 21 de la Constitución, en cuanto a la aplicación retroactiva de la ley más favorable al reo o infractor, es procedente reconocer eficacia retroactiva a la vigente LEG en beneficio del servidor público denunciado, lo que permite concluir que los hechos que se le atribuyen carecen actualmente de tipicidad por no guardar correspondencia alguna con los deberes éticos ni las prohibiciones éticas contenidas en los artículos 5, 6 y 7 de la normativa vigente; y, por consiguiente, tales hechos ya no resultan sancionables.

De esta forma, al no existir norma que sancione el incumplimiento discutido en el presente procedimiento carece de sentido continuar con su tramitación, por lo que deberá declararse la improcedencia sobrevenida correspondiente.

"|Improcedente||
Definitiva|2012|2-TEG-2011|28/11/2012|Ejecución de procesos|¿Cómo se puede determinar el retardo en la prestación del servicio si no hay un plazo definido?|"La prueba documental demuestra que desde el treinta de julio hasta el seis de octubre, ambas fechas de dos mil diez, el personal de la Inspectoría realizó una serie de diligencias tendientes a obtener todos los datos relativos a la situación disciplinaria del requirente.
Esto significa que al día seis de octubre la servidora pública denunciada contaba con toda la información necesaria para emitir la constancia solicitada; pese a ello, la elaboró hasta el ocho de diciembre, ambas fechas de dos mil diez.
Excluyendo los días de asueto previstos por la ley, se advierte que transcurrieron cuarenta y cinco días hábiles desde el seis de octubre hasta el ocho de diciembre de dos mil diez, es decir, desde que la servidora pública denunciada tenía todos los insumos necesarios para emitir la solicitud hasta la fecha en que la extendió.
Sin embargo, este Tribunal estima que dicho término es razonable en atención a la complejidad del documento solicitado por el denunciante y la carga laboral que maneja el personal de la Inspectoría General de la Policía Nacional Civil.
De esta forma no se advierte la existencia de un retardo injustificado en la prestación del servicio requerido (confidencial) en vista que no existe una normativa que fije un plazo determinado para la extensión de la constancia y que además la denunciada fue diligente al momento de realizar las indagaciones previas a la emisión de la misma.
Adicionalmente, se repara que la supuesta dilación no ocasionó un efectivo perjuicio al denunciante pues este finalmente recibió la constancia solicitada."|No sanciona||i
